Date,Type,Strength,Full name,,Full name,Frequency
11/29/2022,still,very,very still,,,
11/30/2022,still,very,very still,,,
12/01/2022,still,very,very still,,,
12/02/2022,breeze,good,good breeze,,,
12/03/2022,still,very,very still,,,
12/04/2022,still,very,very still,,,
12/05/2022,still,very,very still,,,
12/06/2022,still,very,very still,,,
12/07/2022,still,very,very still,,,
12/08/2022,still,very,very still,,,
12/09/2022,still,very,very still,,,
12/10/2022,still,very,very still,,,
12/11/2022,breeze,strong,strong breeze,,,
12/12/2022,still,very,very still,,,
12/13/2022,breeze,gentle,gentle breeze,,,
12/14/2022,still,very,very still,,,
12/15/2022,still,very,very still,,,
12/16/2022,breeze,good,good breeze,,,
